mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.0889396667480469,0.11755994467045502,0.07240152359008789,0.0023067765588647925,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.018447348193697154,0.01536688436419516,0.01233140655105973,0.015381879702984014,0.002496845234714623,6
2.211880922317505,0.2278712916114906,0.14683969815572104,0.01581179967685622,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.018447348193697154,0.01536688436419516,0.01308698999230177,0.015633740850064696,0.0021964773767489108,5
1.7961595853169758,0.3259723934308162,0.12543082237243652,0.015578434796303381,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.04154078549848943,0.03263757115749526,0.036897590361445784,0.03702531567247682,0.0036358439384118735,4
3.2388504346211753,0.24733741403513712,0.17161409060160318,0.03275299030632466,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.0415564790328674,0.03263757115749526,0.03695324283559578,0.03704909767531948,0.0036417596969109717,3
2.1432254314422607,0.06905969540012506,0.1593491236368815,0.01664831387940145,,50,"{'max_depth': None, 'n_estimators': 50}",0.06181015452538632,0.05659683939728041,0.06272793581327499,0.06037830991198057,0.0027000271681669754,1
2.9889675776163735,0.07319725277496819,0.21887675921122232,0.026115260986850915,,100,"{'max_depth': None, 'n_estimators': 100}",0.06181015452538632,0.05582078589790672,0.06341107871720117,0.060347339713498066,0.003266803396907336,2
